Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,1283.000000,1299.949951,1283.000000,1297.000000,1282.483643,2058419
2021-01-04,1305.000000,1322.550049,1302.000000,1314.599976,1299.886597,4014636
2021-01-05,1307.000000,1313.000000,1295.050049,1306.300049,1291.679565,2833637
2021-01-06,1308.000000,1330.000000,1300.000000,1314.000000,1299.293335,4615963
2021-01-07,1330.000000,1346.800049,1325.000000,1338.949951,1323.964111,4270598
2021-01-08,1349.800049,1382.949951,1347.000000,1373.400024,1358.028564,4984995
2021-01-11,1382.000000,1384.949951,1345.000000,1350.000000,1334.890503,3252470
2021-01-12,1354.000000,1366.849976,1344.050049,1349.800049,1334.692749,2836161
2021-01-13,1354.000000,1373.000000,1344.300049,1352.500000,1337.362427,4389762
2021-01-14,1358.000000,1389.699951,1356.250000,1376.599976,1361.192749,5168591
2021-01-15,1376.699951,1384.500000,1345.050049,1354.150024,1338.994019,2587576
2021-01-18,1345.199951,1353.849976,1326.150024,1336.050049,1321.096680,3185998
2021-01-19,1340.050049,1382.000000,1337.000000,1369.849976,1354.518311,3885798
2021-01-20,1369.000000,1393.050049,1362.550049,1382.650024,1367.175049,3957992
2021-01-21,1395.000000,1396.000000,1361.050049,1371.300049,1355.952148,2985423
2021-01-22,1362.000000,1375.000000,1348.500000,1362.099976,1346.854980,3282665
2021-01-25,1370.000000,1396.400024,1342.000000,1361.300049,1346.063965,4847989
2021-01-27,1368.800049,1392.699951,1330.099976,1359.849976,1344.630127,8896211
2021-01-28,1344.699951,1365.099976,1340.000000,1345.349976,1330.292480,2962948
2021-01-29,1362.000000,1369.000000,1325.099976,1334.699951,1319.761597,5130876
2021-02-01,1345.750000,1462.000000,1337.199951,1448.849976,1432.634033,11317043
2021-02-02,1474.000000,1593.000000,1474.000000,1520.199951,1503.185425,14349665
2021-02-03,1530.000000,1558.000000,1505.000000,1528.550049,1511.442139,6197782
2021-02-04,1525.000000,1550.000000,1510.000000,1529.800049,1512.678101,3957579
2021-02-05,1534.400024,1547.000000,1511.099976,1516.500000,1499.526978,3270494
2021-02-08,1521.150024,1570.000000,1520.000000,1551.800049,1534.431885,5223019
2021-02-09,1557.000000,1574.500000,1545.000000,1566.449951,1548.917847,3825206
2021-02-10,1560.000000,1564.000000,1528.699951,1552.849976,1535.470093,2578777
2021-02-11,1549.400024,1559.900024,1526.550049,1530.500000,1513.370239,2720190
2021-02-12,1535.000000,1544.000000,1516.099976,1521.349976,1504.322632,1867284
2021-02-15,1527.000000,1544.000000,1521.349976,1537.650024,1520.440186,1917477
2021-02-16,1540.000000,1574.000000,1539.000000,1549.449951,1532.108154,3838556
2021-02-17,1544.000000,1567.000000,1533.000000,1548.349976,1531.020386,2340184
2021-02-18,1542.199951,1551.199951,1515.150024,1524.599976,1507.536255,2446843
2021-02-19,1523.849976,1547.000000,1498.849976,1508.800049,1491.913208,3044240
2021-02-22,1510.900024,1511.949951,1447.099976,1452.199951,1435.946533,6168108
2021-02-23,1462.000000,1498.000000,1460.000000,1486.300049,1469.665039,3733776
2021-02-24,1486.699951,1532.000000,1486.699951,1526.599976,1509.513916,2380414
2021-02-25,1534.000000,1540.599976,1502.000000,1506.449951,1489.589355,3168105
2021-02-26,1482.000000,1493.500000,1435.150024,1442.500000,1426.355103,5579058
2021-03-01,1456.000000,1486.000000,1438.199951,1472.849976,1456.365479,2494481
2021-03-02,1479.300049,1489.650024,1458.150024,1485.650024,1469.022217,2089473
2021-03-03,1493.500000,1510.000000,1481.349976,1496.900024,1480.146362,2184001
2021-03-04,1473.000000,1494.349976,1458.000000,1462.599976,1446.230225,3530366
2021-03-05,1453.599976,1477.199951,1439.099976,1463.550049,1447.169556,3306902
2021-03-08,1478.000000,1525.000000,1470.000000,1515.199951,1498.241455,4150049
